number,value,params_alpha,params_colsample_bytree,params_eta,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
0,0.7277662917826532,0.0001707396743152812,0.6624074561769746,0.023688639503640783,1.1752647960576206,0.029375384576328288,8,17.524101118128137,0.8394633936788146,COMPLETE
1,0.7235762454805967,0.000533703276260396,0.9329770563201687,0.039913058785616795,0.0007274653135669422,0.04335281794951567,6,1.0838581269344745,0.9879639408647978,COMPLETE
2,0.7252876031899177,0.0014742753159914669,0.8447411578889518,0.02014847788415866,0.005266514841107984,0.02621087878265441,5,5.4182823195332395,0.7164916560792167,COMPLETE
3,0.7264203272028843,0.02692646910086179,0.836965827544817,0.028580510658069373,0.00063283099528693,0.013783237455007183,7,2.1839352923182975,0.8056937753654446,COMPLETE
4,0.7265237339595177,0.054567254856014755,0.7218455076693483,0.011615865989246453,0.011702088154220882,0.019634341572933336,8,43.70990468130503,0.9233589392465844,COMPLETE
5,0.7250353248605634,0.0017654048052495078,0.7035119926400067,0.01324458134009936,0.027783313007975565,0.9717775305059632,5,1.1439974749291268,0.9637281608315128,COMPLETE
6,0.7222985731763739,0.024637685958997457,0.9757995766256756,0.03521358805467869,2.147135132541305,4.83595277646595,3,44.39102767051397,0.9100531293444458,COMPLETE
7,0.721932828757683,0.20651425578959234,0.7554709158757928,0.012260057359187526,0.004746496676106306,0.06516990611177176,3,1.1935477742481382,0.7301321323053057,COMPLETE
8,0.7258291716284395,0.12273800987852965,0.6298202574719083,0.01909565280104538,0.0008585370205937364,9.133995846860973,5,1.7355056469855072,0.9208787923016158,COMPLETE
9,0.7257258616966659,0.00271558195528294,0.9085081386743783,0.010127963257331486,0.0003503202443763074,0.016677615430197915,7,15.882886211970037,0.8916028672163949,COMPLETE
10,0.7245689568512387,0.00011496799259680233,0.6061470949312417,0.07856293628949162,3.8623542970037636,0.20617821832831063,8,13.025197490003656,0.6071847502459279,COMPLETE
